Gene,p-value
928,0.00042550458744700835
586,0.0002498178937267213
91862,1.7961034310837452e-05
9274,4.9219970475337866e-05
983,6.433475042745824e-05
10627,4.59424558423569e-06
1644,9.335304743889611e-06
114876,1.3678025262980669e-05
1349,2.7726024138707233e-05
1479,7.203079073539364e-05
2967,0.0001038581707197685
4236,0.0001489922216038803
948,3.1788626253005496e-05
4716,6.477171036801716e-06
994,9.786334853338368e-06
7378,3.9168086091468565e-07
9553,1.537925226366251e-06
997,5.632838406881522e-07
10907,6.948693679908553e-08
4868,1.3179498856498983e-07
523,4.841976930204406e-08
84811,6.2011214998271e-09
967,1.0971308868952453e-08
84365,1.3116032762752574e-09
6206,2.079397254551214e-09
995,3.5966173992342735e-09
6183,3.872499729103213e-10
988,1.0154529538604378e-10
992,2.214644361662998e-11
23560,1.3083772612939793e-12
124995,1.864633063354154e-12
8350,5.409993404500204e-12
991,1.054808361883673e-12
3012,6.1894725151552e-13
7388,1.0840286436631967e-12
998,4.729223811986129e-13
51634,6.182852423592871e-14
9412,1.0418788997967995e-13
989,2.098094500240466e-14
9631,1.4183160846337301e-14
51003,2.0944983412862048e-14
9277,3.153107985907657e-14
993,6.890788210355307e-15
10283,1.207336316921494e-15
9410,3.144276984451452e-15
996,5.052132465976994e-15
7381,1.6874448171799468e-16
27089,2.2635963193278856e-16
55168,4.491798882565973e-16
990,4.0822437308823125e-16
2197,4.046816159148098e-17
153527,7.400701351158272e-17
51373,9.425018492457965e-17
987,4.38503186707931e-17
64432,3.791099577873211e-18
7818,8.454830900702452e-18
999,2.7255696832936198e-17
2961,7.836791618809784e-19
57050,1.528474876146243e-18
7384,2.8161988124225568e-18
79989,5.603797411161879e-18
1659,7.900545853714307e-18
985,6.746650860031047e-18
11193,3.008143594104336e-19
7737,4.384500302317646e-19
51023,8.082550311935221e-19
65080,2.4171165177820423e-18
84246,4.420299175251605e-18
64968,5.693619650343737e-18
842,4.5001767860206095e-18
973,7.317707443836654e-19
64979,3.1660656481754933e-20
6194,7.503083184735076e-20
6189,1.1529515014413552e-19
6193,2.686592730261697e-19
986,4.592159944492608e-20
64975,9.265436169280607e-20
8175,1.3040384945948588e-19
6223,2.149457967501987e-19
972,1.184488947107151e-19
6187,3.356905034490107e-20
977,5.573953468952625e-21
980,9.015065877151359e-22
1329,2.688486507929978e-22
6222,6.338686218387974e-22
960,5.035628938734551e-22
28977,5.333656899051121e-23
1915,1.8460512441423102e-22
979,3.357805165110425e-23
10209,8.112664013627316e-24
981,2.9585568271753107e-23
6229,1.694102271646772e-24
26156,2.7162552404483162e-24
6205,3.740646500896526e-24
982,1.8605133837068464e-24
1984,4.40071710371185e-25
55052,7.601272879281241e-25
